timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1581417234668,4437,AuthNProxy,401,Unauthorized,Thread Group 1-42,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4437,0,551
1581417234445,4661,AuthNProxy,401,Unauthorized,Thread Group 1-9,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4661,0,544
1581417234747,4485,AuthNProxy,401,Unauthorized,Thread Group 1-5,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4485,0,549
1581417234827,4407,AuthNProxy,401,Unauthorized,Thread Group 1-32,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4407,0,546
1581417234746,4489,AuthNProxy,401,Unauthorized,Thread Group 1-36,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4489,0,544
1581417234846,4397,AuthNProxy,401,Unauthorized,Thread Group 1-30,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4397,0,544
1581417234799,4444,AuthNProxy,401,Unauthorized,Thread Group 1-39,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4444,0,545
1581417234812,4433,AuthNProxy,401,Unauthorized,Thread Group 1-46,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4433,0,550
1581417234839,4407,AuthNProxy,401,Unauthorized,Thread Group 1-20,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4407,0,544
1581417234831,4416,AuthNProxy,401,Unauthorized,Thread Group 1-45,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4416,0,550
1581417234867,4380,AuthNProxy,401,Unauthorized,Thread Group 1-31,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4380,0,549
1581417234825,4423,AuthNProxy,401,Unauthorized,Thread Group 1-34,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4423,0,549
1581417234886,4626,AuthNProxy,401,Unauthorized,Thread Group 1-14,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4625,0,545
1581417234827,4685,AuthNProxy,401,Unauthorized,Thread Group 1-44,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4685,0,551
1581417234829,4687,AuthNProxy,401,Unauthorized,Thread Group 1-13,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4687,0,545
1581417234881,4635,AuthNProxy,401,Unauthorized,Thread Group 1-41,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4635,0,544
1581417234854,4664,AuthNProxy,401,Unauthorized,Thread Group 1-33,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4664,0,545
1581417234877,4641,AuthNProxy,401,Unauthorized,Thread Group 1-19,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4641,0,545
1581417234825,4694,AuthNProxy,401,Unauthorized,Thread Group 1-16,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4694,0,544
1581417234838,4685,AuthNProxy,401,Unauthorized,Thread Group 1-38,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4685,0,550
1581417234916,4608,AuthNProxy,401,Unauthorized,Thread Group 1-48,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4608,0,550
1581417235004,4798,AuthNProxy,401,Unauthorized,Thread Group 1-50,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4798,0,545
1581417234973,4833,AuthNProxy,401,Unauthorized,Thread Group 1-11,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4833,0,544
1581417234881,4929,AuthNProxy,401,Unauthorized,Thread Group 1-23,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4929,0,550
1581417234977,4834,AuthNProxy,401,Unauthorized,Thread Group 1-4,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4834,0,550
1581417234996,4816,AuthNProxy,401,Unauthorized,Thread Group 1-43,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4816,0,550
1581417234997,4816,AuthNProxy,401,Unauthorized,Thread Group 1-10,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4816,0,545
1581417235016,4797,AuthNProxy,401,Unauthorized,Thread Group 1-35,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4797,0,550
1581417235066,4748,AuthNProxy,401,Unauthorized,Thread Group 1-6,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4748,0,544
1581417235003,4813,AuthNProxy,401,Unauthorized,Thread Group 1-17,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4813,0,545
1581417235020,4796,AuthNProxy,401,Unauthorized,Thread Group 1-2,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4796,0,550
1581417839364,4169,AuthNProxy,401,Unauthorized,Thread Group 1-33,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4169,0,550
1581417839373,4289,AuthNProxy,401,Unauthorized,Thread Group 1-7,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4289,0,549
1581417839411,4268,AuthNProxy,401,Unauthorized,Thread Group 1-29,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4268,0,546
1581417839434,4272,AuthNProxy,401,Unauthorized,Thread Group 1-38,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4272,0,550
1581417839433,4283,AuthNProxy,401,Unauthorized,Thread Group 1-1,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4283,0,550
1581417839453,4431,AuthNProxy,401,Unauthorized,Thread Group 1-34,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4431,0,546
1581417839536,4375,AuthNProxy,401,Unauthorized,Thread Group 1-16,text,false,,332,184,50,50,https://integration.authnproxyms.service.itsupport247.net/test,4375,0,549
